symbol='MAINIDX', expiryDate='27JUL23', strike='19350', option='PE', LTP=71510, LTQ=50, totalTradedVolume=50, bestBid=70840, bestAsk=71990, bestBidQty=150, bestAskQty=200, openInterest=1850, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472982, prevClosePrice=8550, prevOpenInterest=8200
symbol='ALLBANKS', expiryDate='13JUL23', strike='45200', option='PE', LTP=113265, LTQ=0, totalTradedVolume=0, bestBid=116225, bestAsk=118790, bestBidQty=225, bestAskQty=100, openInterest=125, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472794, prevClosePrice=6075, prevOpenInterest=5850
symbol='ALLBANKS', expiryDate='20JUL23', strike='44100', option='CE', LTP=52370, LTQ=0, totalTradedVolume=0, bestBid=49460, bestAsk=50590, bestBidQty=25, bestAskQty=25, openInterest=3875, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472229, prevClosePrice=2975, prevOpenInterest=1750
symbol='MAINIDX', expiryDate='27JUL23', strike='17750', option='PE', LTP=2210, LTQ=650, totalTradedVolume=650, bestBid=2180, bestAsk=2205, bestBidQty=50, bestAskQty=300, openInterest=77650, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472589, prevClosePrice=46400, prevOpenInterest=19550
symbol='MAINIDX', expiryDate='27JUL23', strike='16650', option='CE', LTP=154145, LTQ=0, totalTradedVolume=0, bestBid=181230, bestAsk=205890, bestBidQty=1500, bestAskQty=1000, openInterest=0, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472787, prevClosePrice=6050, prevOpenInterest=6050
symbol='MAINIDX', expiryDate='27JUL23', strike='19400', option='CE', LTP=710, LTQ=950, totalTradedVolume=950, bestBid=710, bestAsk=720, bestBidQty=2850, bestAskQty=1350, openInterest=737350, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472935, prevClosePrice=79550, prevOpenInterest=66000
symbol='MAINIDX', expiryDate='06JUL23', strike='18350', option='CE', LTP=24765, LTQ=12350, totalTradedVolume=12350, bestBid=24770, bestAsk=24815, bestBidQty=300, bestAskQty=50, openInterest=146150, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472957, prevClosePrice=82800, prevOpenInterest=61750
symbol='MAINIDX', expiryDate='28MAR24', strike='19000', option='CE', LTP=138500, LTQ=0, totalTradedVolume=0, bestBid=33475, bestAsk=259000, bestBidQty=100, bestAskQty=300, openInterest=0, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=471939, prevClosePrice=2050, prevOpenInterest=300
symbol='ALLBANKS', expiryDate='28SEP23', strike='44500', option='PE', LTP=118890, LTQ=0, totalTradedVolume=0, bestBid=112870, bestAsk=120180, bestBidQty=15, bestAskQty=15, openInterest=1395, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=471892, prevClosePrice=1905, prevOpenInterest=855
symbol='MAINIDX', expiryDate='20JUL23', strike='19050', option='CE', LTP=2465, LTQ=0, totalTradedVolume=0, bestBid=2185, bestAsk=2425, bestBidQty=950, bestAskQty=100, openInterest=4450, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472394, prevClosePrice=35550, prevOpenInterest=6800
symbol='MAINIDX', expiryDate='28DEC23', strike='17500', option='PE', LTP=20375, LTQ=0, totalTradedVolume=0, bestBid=20300, bestAsk=20455, bestBidQty=50, bestAskQty=100, openInterest=457950, timestamp=Sun Jul 02 20:56:53 IST 2023, sequence=471506, prevClosePrice=10300, prevOpenInterest=8400
symbol='MAINIDX', expiryDate='06JUL23', strike='17850', option='PE', LTP=290, LTQ=14700, totalTradedVolume=14700, bestBid=285, bestAsk=290, bestBidQty=6500, bestAskQty=42650, openInterest=1894100, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472341, prevClosePrice=331550, prevOpenInterest=140850
symbol='MAINIDX', expiryDate='27JUL23', strike='18900', option='PE', LTP=33490, LTQ=550, totalTradedVolume=550, bestBid=33345, bestAsk=33435, bestBidQty=50, bestAskQty=50, openInterest=143500, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472062, prevClosePrice=24150, prevOpenInterest=20200
symbol='MAINIDX', expiryDate='06JUL23', strike='17900', option='CE', LTP=67490, LTQ=300, totalTradedVolume=300, bestBid=67595, bestAsk=67755, bestBidQty=50, bestAskQty=200, openInterest=80950, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472526, prevClosePrice=42250, prevOpenInterest=19550
symbol='ALLBANKS', expiryDate='06JUL23', strike='45000', option='CE', LTP=2170, LTQ=188875, totalTradedVolume=188875, bestBid=2165, bestAsk=2170, bestBidQty=800, bestAskQty=1925, openInterest=2113675, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472742, prevClosePrice=573350, prevOpenInterest=240175
symbol='FINANCIALS', expiryDate='04JUL23', strike='18950', option='PE', LTP=380, LTQ=32160, totalTradedVolume=32160, bestBid=380, bestAsk=385, bestBidQty=6600, bestAskQty=1080, openInterest=375040, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472243, prevClosePrice=300800, prevOpenInterest=91760
symbol='ALLBANKS', expiryDate='27JUL23', strike='43300', option='CE', LTP=107925, LTQ=25, totalTradedVolume=25, bestBid=107809, bestAsk=110220, bestBidQty=50, bestAskQty=75, openInterest=21000, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472785, prevClosePrice=6050, prevOpenInterest=5575
symbol='FINANCIALS', expiryDate='04JUL23', strike='19450', option='CE', LTP=5875, LTQ=434920, totalTradedVolume=434920, bestBid=5845, bestAsk=5855, bestBidQty=720, bestAskQty=400, openInterest=1657960, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472167, prevClosePrice=271760, prevOpenInterest=380920
symbol='ALLBANKS', expiryDate='27JUL23', strike='44400', option='PE', LTP=71640, LTQ=2225, totalTradedVolume=2225, bestBid=70680, bestAsk=70915, bestBidQty=50, bestAskQty=25, openInterest=57900, timestamp=Sun Jul 02 20:56:53 IST 2023, sequence=471585, prevClosePrice=11625, prevOpenInterest=7975
symbol='MAINIDX', expiryDate='13JUL23', strike='19500', option='CE', LTP=245, LTQ=50, totalTradedVolume=50, bestBid=245, bestAsk=250, bestBidQty=6850, bestAskQty=1750, openInterest=84100, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472193, prevClosePrice=284100, prevOpenInterest=112100
symbol='MAINIDX', expiryDate='13JUL23', strike='16950', option='PE', LTP=195, LTQ=0, totalTradedVolume=0, bestBid=195, bestAsk=195, bestBidQty=0, bestAskQty=0, openInterest=500, timestamp=Sun Jul 02 20:56:53 IST 2023, sequence=471491, prevClosePrice=100550, prevOpenInterest=4750
symbol='MAINIDX', expiryDate='31AUG23', strike='16700', option='PE', LTP=1400, LTQ=0, totalTradedVolume=0, bestBid=1400, bestAsk=1400, bestBidQty=0, bestAskQty=0, openInterest=2800, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=471813, prevClosePrice=17250, prevOpenInterest=8500
symbol='ALLBANKS', expiryDate='06JUL23', strike='42500', option='CE', LTP=154500, LTQ=775, totalTradedVolume=775, bestBid=154205, bestAsk=154475, bestBidQty=25, bestAskQty=25, openInterest=27150, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472912, prevClosePrice=75700, prevOpenInterest=15225
symbol='ALLBANKS', expiryDate='06JUL23', strike='42900', option='PE', LTP=3340, LTQ=87375, totalTradedVolume=87375, bestBid=3329, bestAsk=3340, bestBidQty=50, bestAskQty=650, openInterest=477825, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472150, prevClosePrice=266450, prevOpenInterest=43025
symbol='ALLBANKS', expiryDate='27JUL23', strike='46000', option='PE', LTP=189400, LTQ=0, totalTradedVolume=0, bestBid=190870, bestAsk=192600, bestBidQty=175, bestAskQty=125, openInterest=25550, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472426, prevClosePrice=3700, prevOpenInterest=4625
symbol='MAINIDX', expiryDate='31AUG23', strike='17400', option='PE', LTP=3035, LTQ=100, totalTradedVolume=100, bestBid=3030, bestAsk=3065, bestBidQty=250, bestAskQty=50, openInterest=192000, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472075, prevClosePrice=24550, prevOpenInterest=12600
symbol='ALLBANKS', expiryDate='27JUL23', strike='40800', option='CE', LTP=366335, LTQ=0, totalTradedVolume=0, bestBid=314995, bestAsk=349895, bestBidQty=750, bestAskQty=750, openInterest=0, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472409, prevClosePrice=3625, prevOpenInterest=3650
symbol='ALLBANKS', expiryDate='06JUL23', strike='43400', option='CE', LTP=71205, LTQ=6925, totalTradedVolume=6925, bestBid=70955, bestAsk=71080, bestBidQty=25, bestAskQty=25, openInterest=45275, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472896, prevClosePrice=73475, prevOpenInterest=24025
symbol='MAINIDX', expiryDate='31AUG23', strike='17200', option='CE', LTP=148450, LTQ=0, totalTradedVolume=0, bestBid=128020, bestAsk=174320, bestBidQty=450, bestAskQty=450, openInterest=0, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472577, prevClosePrice=4550, prevOpenInterest=4500
symbol='ALLBANKS', expiryDate='27JUL23', strike='41700', option='CE', LTP=272500, LTQ=0, totalTradedVolume=0, bestBid=233930, bestAsk=252660, bestBidQty=750, bestAskQty=75, openInterest=0, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472497, prevClosePrice=4100, prevOpenInterest=3100
symbol='FINANCIALS', expiryDate='25JUL23', strike='19800', option='CE', LTP=53425, LTQ=0, totalTradedVolume=0, bestBid=53425, bestAsk=53425, bestBidQty=0, bestAskQty=0, openInterest=0, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472128, prevClosePrice=2600, prevOpenInterest=320
symbol='ALLBANKS', expiryDate='13JUL23', strike='44100', option='CE', LTP=38650, LTQ=2300, totalTradedVolume=2300, bestBid=38645, bestAsk=38770, bestBidQty=50, bestAskQty=100, openInterest=74275, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472137, prevClosePrice=26200, prevOpenInterest=27950
symbol='ALLBANKS', expiryDate='20JUL23', strike='44300', option='PE', LTP=51350, LTQ=0, totalTradedVolume=0, bestBid=57315, bestAsk=61695, bestBidQty=25, bestAskQty=50, openInterest=575, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472470, prevClosePrice=3950, prevOpenInterest=250
symbol='FINANCIALS', expiryDate='04JUL23', strike='18750', option='CE', LTP=66900, LTQ=0, totalTradedVolume=0, bestBid=64750, bestAsk=66975, bestBidQty=440, bestAskQty=2040, openInterest=200, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472342, prevClosePrice=33160, prevOpenInterest=10800
symbol='ALLBANKS', expiryDate='27JUL23', strike='44000', option='CE', LTP=63410, LTQ=17700, totalTradedVolume=17700, bestBid=63420, bestAsk=63540, bestBidQty=25, bestAskQty=25, openInterest=909025, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472399, prevClosePrice=35825, prevOpenInterest=46475
symbol='MAINIDX', expiryDate='20JUL23', strike='18350', option='CE', LTP=35985, LTQ=0, totalTradedVolume=0, bestBid=33605, bestAsk=34615, bestBidQty=900, bestAskQty=150, openInterest=1300, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=471755, prevClosePrice=15500, prevOpenInterest=7300
symbol='ALLBANKS', expiryDate='27JUL23', strike='43500', option='PE', LTP=32885, LTQ=4700, totalTradedVolume=4700, bestBid=32780, bestAsk=32905, bestBidQty=225, bestAskQty=50, openInterest=1036550, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472260, prevClosePrice=30350, prevOpenInterest=51900
symbol='MAINIDX', expiryDate='13JUL23', strike='20150', option='CE', LTP=170, LTQ=100, totalTradedVolume=100, bestBid=170, bestAsk=175, bestBidQty=1050, bestAskQty=50, openInterest=9950, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472066, prevClosePrice=24300, prevOpenInterest=46650
symbol='ALLBANKS', expiryDate='06JUL23', strike='45200', option='PE', LTP=120140, LTQ=25, totalTradedVolume=25, bestBid=117759, bestAsk=118475, bestBidQty=25, bestAskQty=150, openInterest=3575, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472938, prevClosePrice=80175, prevOpenInterest=16175
symbol='ALLBANKS', expiryDate='13JUL23', strike='43600', option='PE', LTP=22430, LTQ=2550, totalTradedVolume=2550, bestBid=21940, bestAsk=22060, bestBidQty=150, bestAskQty=350, openInterest=27550, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472000, prevClosePrice=22725, prevOpenInterest=20900
symbol='FINANCIALS', expiryDate='11JUL23', strike='19700', option='CE', LTP=5300, LTQ=0, totalTradedVolume=0, bestBid=4405, bestAsk=5130, bestBidQty=40, bestAskQty=40, openInterest=1200, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472192, prevClosePrice=28400, prevOpenInterest=6360
symbol='ALLBANKS', expiryDate='31AUG23', strike='49000', option='CE', LTP=48995, LTQ=0, totalTradedVolume=0, bestBid=1600, bestAsk=16044, bestBidQty=30, bestAskQty=540, openInterest=0, timestamp=Sun Jul 02 20:56:53 IST 2023, sequence=471567, prevClosePrice=1125, prevOpenInterest=1995
symbol='MAINIDX', expiryDate='28SEP23', strike='18750', option='PE', LTP=34575, LTQ=0, totalTradedVolume=0, bestBid=35575, bestAsk=36380, bestBidQty=550, bestAskQty=50, openInterest=4000, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472774, prevClosePrice=600, prevOpenInterest=600
symbol='MAINIDX', expiryDate='27JUL23', strike='19150', option='CE', LTP=2320, LTQ=50, totalTradedVolume=50, bestBid=2340, bestAsk=2360, bestBidQty=3800, bestAskQty=850, openInterest=156100, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472856, prevClosePrice=66850, prevOpenInterest=22300
symbol='ALLBANKS', expiryDate='13JUL23', strike='44300', option='PE', LTP=51320, LTQ=1775, totalTradedVolume=1775, bestBid=51140, bestAsk=51354, bestBidQty=50, bestAskQty=50, openInterest=15100, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=471834, prevClosePrice=17900, prevOpenInterest=17200
symbol='MAINIDX', expiryDate='06JUL23', strike='17450', option='CE', LTP=111984, LTQ=50, totalTradedVolume=50, bestBid=112220, bestAsk=113225, bestBidQty=100, bestAskQty=800, openInterest=4450, timestamp=Sun Jul 02 20:56:53 IST 2023, sequence=471650, prevClosePrice=13300, prevOpenInterest=14250
symbol='', expiryDate='', strike='', option='', LTP=1937875, LTQ=0, totalTradedVolume=0, bestBid=0, bestAsk=0, bestBidQty=0, bestAskQty=0, openInterest=0, timestamp=Sun Jul 02 20:56:53 IST 2023, sequence=471452, prevClosePrice=1932270, prevOpenInterest=0
symbol='MAINIDX', expiryDate='27JUL23', strike='18500', option='CE', LTP=27530, LTQ=11200, totalTradedVolume=11200, bestBid=27460, bestAsk=27520, bestBidQty=50, bestAskQty=100, openInterest=2289750, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=473033, prevClosePrice=94400, prevOpenInterest=79150
symbol='ALLBANKS', expiryDate='28SEP23', strike='47000', option='PE', LTP=260000, LTQ=0, totalTradedVolume=0, bestBid=260000, bestAsk=260000, bestBidQty=0, bestAskQty=0, openInterest=0, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=473025, prevClosePrice=930, prevOpenInterest=0
symbol='MAINIDX', expiryDate='26DEC24', strike='17000', option='PE', LTP=38680, LTQ=0, totalTradedVolume=0, bestBid=37700, bestAsk=38500, bestBidQty=50, bestAskQty=50, openInterest=6950, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=471961, prevClosePrice=2150, prevOpenInterest=350
symbol='', expiryDate='', strike='', option='', LTP=785840, LTQ=0, totalTradedVolume=0, bestBid=0, bestAsk=0, bestBidQty=0, bestAskQty=0, openInterest=0, timestamp=Sun Jul 02 20:56:53 IST 2023, sequence=471454, prevClosePrice=759205, prevOpenInterest=0
symbol='ALLBANKS', expiryDate='27JUL23', strike='37000', option='PE', LTP=950, LTQ=200, totalTradedVolume=200, bestBid=905, bestAsk=1035, bestBidQty=100, bestAskQty=50, openInterest=48950, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=473031, prevClosePrice=9375, prevOpenInterest=3200
symbol='ALLBANKS', expiryDate='13JUL23', strike='45000', option='CE', LTP=8235, LTQ=4750, totalTradedVolume=4750, bestBid=8265, bestAsk=8300, bestBidQty=50, bestAskQty=75, openInterest=194150, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472110, prevClosePrice=25550, prevOpenInterest=30900
symbol='MAINIDX', expiryDate='27JUL23', strike='17350', option='CE', LTP=138775, LTQ=0, totalTradedVolume=0, bestBid=128350, bestAsk=130075, bestBidQty=300, bestAskQty=200, openInterest=0, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472858, prevClosePrice=6700, prevOpenInterest=6200
symbol='MAINIDX', expiryDate='27JUL23', strike='13500', option='PE', LTP=250, LTQ=0, totalTradedVolume=0, bestBid=250, bestAsk=250, bestBidQty=0, bestAskQty=0, openInterest=12700, timestamp=Sun Jul 02 20:56:53 IST 2023, sequence=471560, prevClosePrice=11100, prevOpenInterest=2450
symbol='ALLBANKS', expiryDate='13JUL23', strike='43400', option='CE', LTP=83670, LTQ=100, totalTradedVolume=100, bestBid=84300, bestAsk=84905, bestBidQty=50, bestAskQty=75, openInterest=2925, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=473061, prevClosePrice=9975, prevOpenInterest=5175
symbol='MAINIDX', expiryDate='06JUL23', strike='19050', option='CE', LTP=240, LTQ=264750, totalTradedVolume=264750, bestBid=240, bestAsk=245, bestBidQty=29600, bestAskQty=50600, openInterest=3041900, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472581, prevClosePrice=458200, prevOpenInterest=225500
symbol='ALLBANKS', expiryDate='13JUL23', strike='42700', option='PE', LTP=6845, LTQ=75, totalTradedVolume=75, bestBid=6730, bestAsk=6770, bestBidQty=25, bestAskQty=25, openInterest=11025, timestamp=Sun Jul 02 20:56:53 IST 2023, sequence=471641, prevClosePrice=13150, prevOpenInterest=6775
symbol='MAINIDX', expiryDate='13JUL23', strike='17900', option='CE', LTP=70565, LTQ=50, totalTradedVolume=50, bestBid=69805, bestAsk=71000, bestBidQty=6800, bestAskQty=200, openInterest=3300, timestamp=Sun Jul 02 20:56:53 IST 2023, sequence=471620, prevClosePrice=12500, prevOpenInterest=11600
symbol='MAINIDX', expiryDate='27JUL23', strike='18450', option='PE', LTP=12180, LTQ=1800, totalTradedVolume=1800, bestBid=12085, bestAsk=12120, bestBidQty=100, bestAskQty=50, openInterest=121700, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472231, prevClosePrice=29750, prevOpenInterest=31650
symbol='ALLBANKS', expiryDate='20JUL23', strike='43400', option='CE', LTP=102000, LTQ=0, totalTradedVolume=0, bestBid=55790, bestAsk=97045, bestBidQty=150, bestAskQty=150, openInterest=2375, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=471727, prevClosePrice=1475, prevOpenInterest=700
symbol='ALLBANKS', expiryDate='20JUL23', strike='49500', option='CE', LTP=710, LTQ=0, totalTradedVolume=0, bestBid=710, bestAsk=710, bestBidQty=0, bestAskQty=0, openInterest=2400, timestamp=Sun Jul 02 20:56:53 IST 2023, sequence=471592, prevClosePrice=11775, prevOpenInterest=3700
symbol='FINANCIALS', expiryDate='04JUL23', strike='20550', option='CE', LTP=55, LTQ=120, totalTradedVolume=120, bestBid=55, bestAsk=60, bestBidQty=1640, bestAskQty=6440, openInterest=43480, timestamp=Sun Jul 02 20:56:53 IST 2023, sequence=471622, prevClosePrice=125680, prevOpenInterest=139400
symbol='MAINIDX', expiryDate='13JUL23', strike='18550', option='PE', LTP=10800, LTQ=6000, totalTradedVolume=6000, bestBid=10785, bestAsk=10830, bestBidQty=150, bestAskQty=200, openInterest=149350, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472712, prevClosePrice=55150, prevOpenInterest=40250
symbol='ALLBANKS', expiryDate='27JUL23', strike='45300', option='PE', LTP=123900, LTQ=0, totalTradedVolume=0, bestBid=130265, bestAsk=133140, bestBidQty=100, bestAskQty=75, openInterest=2750, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472654, prevClosePrice=5050, prevOpenInterest=4675
symbol='ALLBANKS', expiryDate='06JUL23', strike='43600', option='PE', LTP=12165, LTQ=340450, totalTradedVolume=340450, bestBid=12085, bestAsk=12110, bestBidQty=75, bestAskQty=50, openInterest=1095550, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472143, prevClosePrice=264800, prevOpenInterest=155575
symbol='ALLBANKS', expiryDate='27JUL23', strike='39700', option='CE', LTP=400000, LTQ=0, totalTradedVolume=0, bestBid=399835, bestAsk=465185, bestBidQty=750, bestAskQty=750, openInterest=0, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472255, prevClosePrice=3025, prevOpenInterest=3025
symbol='ALLBANKS', expiryDate='06JUL23', strike='38000', option='PE', LTP=295, LTQ=700, totalTradedVolume=700, bestBid=295, bestAsk=300, bestBidQty=525, bestAskQty=4125, openInterest=185650, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472081, prevClosePrice=249900, prevOpenInterest=23725
symbol='MAINIDX', expiryDate='20JUL23', strike='20150', option='CE', LTP=270, LTQ=0, totalTradedVolume=0, bestBid=270, bestAsk=270, bestBidQty=0, bestAskQty=0, openInterest=2050, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=471798, prevClosePrice=16750, prevOpenInterest=5050
symbol='FINANCIALS', expiryDate='04JUL23', strike='17000', option='PE', LTP=50, LTQ=1560, totalTradedVolume=1560, bestBid=45, bestAsk=50, bestBidQty=3560, bestAskQty=640, openInterest=60880, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472215, prevClosePrice=291560, prevOpenInterest=80440
symbol='ALLBANKS', expiryDate='27JUL23', strike='41900', option='PE', LTP=7659, LTQ=275, totalTradedVolume=275, bestBid=7575, bestAsk=7645, bestBidQty=1525, bestAskQty=50, openInterest=11675, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=471975, prevClosePrice=21925, prevOpenInterest=10400
symbol='MAINIDX', expiryDate='13JUL23', strike='17850', option='PE', LTP=775, LTQ=550, totalTradedVolume=550, bestBid=760, bestAsk=770, bestBidQty=3050, bestAskQty=500, openInterest=22350, timestamp=Sun Jul 02 20:56:53 IST 2023, sequence=471610, prevClosePrice=120650, prevOpenInterest=14250
symbol='MAINIDX', expiryDate='27JUL23', strike='23000', option='PE', LTP=431900, LTQ=0, totalTradedVolume=0, bestBid=431200, bestAsk=437310, bestBidQty=50, bestAskQty=100, openInterest=0, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472584, prevClosePrice=4600, prevOpenInterest=4850
symbol='MAINIDX', expiryDate='13JUL23', strike='18600', option='CE', LTP=12890, LTQ=10900, totalTradedVolume=10900, bestBid=12935, bestAsk=12960, bestBidQty=200, bestAskQty=50, openInterest=486000, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472922, prevClosePrice=77050, prevOpenInterest=71000
symbol='MAINIDX', expiryDate='31DEC26', strike='18000', option='PE', LTP=94790, LTQ=0, totalTradedVolume=0, bestBid=94790, bestAsk=94790, bestBidQty=0, bestAskQty=0, openInterest=6150, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472083, prevClosePrice=2500, prevOpenInterest=1350
symbol='ALLBANKS', expiryDate='27JUL23', strike='42600', option='CE', LTP=175530, LTQ=0, totalTradedVolume=0, bestBid=163635, bestAsk=167080, bestBidQty=175, bestAskQty=50, openInterest=5050, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472628, prevClosePrice=4925, prevOpenInterest=4950
